,Date,Volume (BTC)
836,2017-10-14,8410.9362308
837,2017-10-15,11542.945833700001
838,2017-10-16,9066.79974453
839,2017-10-17,9105.28187907
840,2017-10-18,18961.6757967
841,2017-10-19,9919.83821694
842,2017-10-20,15109.063650999999
843,2017-10-21,15357.423733700001
844,2017-10-22,12232.5233299
845,2017-10-23,15331.635029299998
846,2017-10-24,17286.7237393
847,2017-10-25,12349.1067022
848,2017-10-26,11788.3025892
849,2017-10-27,11911.0419963
850,2017-10-28,5926.29737158
851,2017-10-29,16086.6256947
852,2017-10-30,9574.64365313
853,2017-10-31,13423.3085505
854,2017-11-01,12967.222116399998
855,2017-11-02,26514.6511945
856,2017-11-03,15999.7837968
857,2017-11-04,9200.11461844
858,2017-11-05,9218.32689776
859,2017-11-06,19323.1287575
860,2017-11-07,11634.2652965
