,Date,Daily Closing Price
876,2017-11-23,7989.0
877,2017-11-24,8199.19
878,2017-11-25,8717.99
879,2017-11-26,9271.06
880,2017-11-27,9708.07
881,2017-11-28,9868.82
882,2017-11-29,9824.68
883,2017-11-30,9947.67
884,2017-12-01,10840.45
885,2017-12-02,10872.0
886,2017-12-03,11250.0
887,2017-12-04,11613.07
888,2017-12-05,11677.0
889,2017-12-06,13623.5
890,2017-12-07,16599.99
891,2017-12-08,15800.0
892,2017-12-09,14607.49
893,2017-12-10,14691.0
894,2017-12-11,16470.0
895,2017-12-12,16650.01
896,2017-12-13,16250.0
897,2017-12-14,16404.99
898,2017-12-15,17471.5
899,2017-12-16,19187.78
900,2017-12-17,18953.0
901,2017-12-18,18940.57
902,2017-12-19,17700.0
903,2017-12-20,16466.98
904,2017-12-21,15600.01
905,2017-12-22,14009.79
906,2017-12-23,14619.0
907,2017-12-24,14157.87
908,2017-12-25,13911.28
909,2017-12-26,15764.44
910,2017-12-27,15364.93
911,2017-12-28,14470.07
912,2017-12-29,14340.0
913,2017-12-30,12640.0
914,2017-12-31,13880.0
915,2018-01-01,13443.41
916,2018-01-02,14678.94
917,2018-01-03,15155.62
918,2018-01-04,15143.67
919,2018-01-05,16928.0
920,2018-01-06,17149.67
921,2018-01-07,16124.02
922,2018-01-08,14999.99
923,2018-01-09,14403.51
924,2018-01-10,14890.02
925,2018-01-11,13243.83
926,2018-01-12,13781.41
927,2018-01-13,14197.78
928,2018-01-14,13647.99
929,2018-01-15,13607.04
930,2018-01-16,11386.34
931,2018-01-17,11191.35
932,2018-01-18,11247.57
933,2018-01-19,11552.0
934,2018-01-20,12775.99
935,2018-01-21,11558.87
936,2018-01-22,10808.99
937,2018-01-23,10851.82
938,2018-01-24,11400.96
939,2018-01-25,11155.54
940,2018-01-26,11092.95
941,2018-01-27,11446.54
942,2018-01-28,11685.58
943,2018-01-29,11162.62
944,2018-01-30,9971.0
945,2018-01-31,10149.0
946,2018-02-01,8998.99
947,2018-02-02,8838.83
948,2018-02-03,9225.86
949,2018-02-04,8191.0
950,2018-02-05,6874.27
951,2018-02-06,7737.37
952,2018-02-07,7588.01
953,2018-02-08,8259.76
954,2018-02-09,8693.98
955,2018-02-10,8560.0
956,2018-02-11,8067.0
957,2018-02-12,8899.0
958,2018-02-13,8522.99
959,2018-02-14,9490.98
960,2018-02-15,10018.0
961,2018-02-16,10196.0
962,2018-02-17,11101.0
963,2018-02-18,10421.06
964,2018-02-19,11173.0
965,2018-02-20,11233.41
966,2018-02-21,10449.4
967,2018-02-22,9843.34
968,2018-02-23,10166.1
969,2018-02-24,9689.99
970,2018-02-25,9590.04
971,2018-02-26,10324.7
972,2018-02-27,10566.3
973,2018-02-28,10314.9
974,2018-03-01,10903.13
975,2018-03-02,11029.99
976,2018-03-03,11445.0
977,2018-03-04,11463.27
978,2018-03-05,11419.24
979,2018-03-06,10723.76
980,2018-03-07,9913.03
981,2018-03-08,9285.32
982,2018-03-09,9230.0
983,2018-03-10,8791.47
984,2018-03-11,9535.04
985,2018-03-12,9120.75
